web-scraper-order,web-scraper-start-url,product
"1680415156-524","https://kotn.com/collections/womens","Mesh Tee in Marshmallow"
"1680415156-525","https://kotn.com/collections/womens","Unisex Flow Top  in Oasis"
"1680415156-526","https://kotn.com/collections/womens","V-neck Bra  in Iron"
"1680415156-527","https://kotn.com/collections/womens","Fine Knit Skirt in Marshmallow/Wisteria"
"1680415156-528","https://kotn.com/collections/womens","Ballet Dress in White Sand"
"1680415156-529","https://kotn.com/collections/womens","Crop Flow Shirt in Oasis"
"1680415156-530","https://kotn.com/collections/womens","Crop Flow Shirt in Iron"
"1680415156-531","https://kotn.com/collections/womens","Unisex Flow Top  in Tan"
"1680415156-532","https://kotn.com/collections/womens","Crop Flow Shirt in Dusty Violet"
"1680415156-533","https://kotn.com/collections/womens","Fine Knit Skirt in Black/Iron"
"1680415156-534","https://kotn.com/collections/womens","Unisex Flow Top  in Dusty Violet"
"1680415156-535","https://kotn.com/collections/womens","90's Crop Tee in White"
"1680415156-536","https://kotn.com/collections/womens","Rib Racer Tank in Lavender"
"1680415156-537","https://kotn.com/collections/womens","Mesh Tee in Violet"
"1680415156-538","https://kotn.com/collections/womens","Unisex Crochet Bucket Hat in Faded Apple/Marshmallow"
"1680415156-539","https://kotn.com/collections/womens","Plaza Trouser in Laurel Oak"
"1680415156-540","https://kotn.com/collections/womens","Rib Crop Tank in White"
"1680415156-541","https://kotn.com/collections/womens","Midi Babydoll Dress in White Sand"
"1680415156-542","https://kotn.com/collections/womens","Plaza Trouser in Alabaster"
"1680415156-543","https://kotn.com/collections/womens","Alexandria Shirt in Alabaster"
"1680415156-544","https://kotn.com/collections/womens","90's Tee in Lavender"
"1680415156-545","https://kotn.com/collections/womens","90's Tank Dress in Black"
"1680415156-546","https://kotn.com/collections/womens","Unisex Mesh Polo in Porcini Melange"
"1680415156-547","https://kotn.com/collections/womens","Unisex Groove Shirt in Apple Mix"
"1680415156-548","https://kotn.com/collections/womens","V-neck Bra  in Marshmallow"
"1680415156-549","https://kotn.com/collections/womens","Flow Shorts in Dusty Violet"
"1680415156-550","https://kotn.com/collections/womens","Unisex Mesh Polo in Dandelion Melange"
"1680415156-551","https://kotn.com/collections/womens","Unisex Groove Shirt in Lilac Mix"
"1680415156-552","https://kotn.com/collections/womens","Unisex Rib Cardigan in Terracotta"
"1680415156-553","https://kotn.com/collections/womens","Crop Racer Tank in Lavender"
"1680415156-554","https://kotn.com/collections/womens","Alexandria Shirt in Black"
"1680415156-555","https://kotn.com/collections/womens","90's Tank Dress in Terracotta"
"1680415156-556","https://kotn.com/collections/womens","Square Neck Tank in Lavender"
"1680415156-557","https://kotn.com/collections/womens","Ballet Dress in Storm"
"1680415156-558","https://kotn.com/collections/womens","Unisex Crochet Bucket Hat in Storm/Black"
"1680415156-559","https://kotn.com/collections/womens","T-Shirt Dress in Moss Grey"
"1680415156-560","https://kotn.com/collections/womens","T-Shirt Dress in Terracotta"
"1680415156-561","https://kotn.com/collections/womens","Unisex Rib Cardigan in Black"
"1680415156-562","https://kotn.com/collections/womens","Crop Racer Tank in White"
"1680415156-563","https://kotn.com/collections/womens","Flow Shorts in Oasis"
"1680415156-564","https://kotn.com/collections/womens","Flow Shorts in Iron"
"1680415156-565","https://kotn.com/collections/womens","Ballet Dress in Black"
"1680415156-566","https://kotn.com/collections/womens","Rib Pant in Faded Apple"
"1680415156-567","https://kotn.com/collections/womens","Rib Crop Tank in Seaweed"
"1680415156-568","https://kotn.com/collections/womens","Rib Crop Tank in Terracotta"
"1680415156-569","https://kotn.com/collections/womens","90's Tee in Black"
"1680415156-570","https://kotn.com/collections/womens","90's Crop Tee in Black"
"1680415156-571","https://kotn.com/collections/womens","Rib Longsleeve in Porcini"
"1680415156-572","https://kotn.com/collections/womens","Unisex Fine Knit Hoodie in Iron"
"1680415156-573","https://kotn.com/collections/womens","Knit Crop Tank in Iron"
"1680415156-574","https://kotn.com/collections/womens","Rib Pant in Porcini"
"1680415156-575","https://kotn.com/collections/womens","90's Crop Tee in Terracotta"
"1680415156-576","https://kotn.com/collections/womens","Rib Longsleeve in Faded Apple"
"1680415156-577","https://kotn.com/collections/womens","Crop Racer Tank in Black"
"1680415156-578","https://kotn.com/collections/womens","90's Crop Tee in Faded Apple"
"1680415156-579","https://kotn.com/collections/womens","Rib Crop Tank in Faded Apple"
"1680415156-580","https://kotn.com/collections/womens","Midi Babydoll Dress in Black"
"1680415156-581","https://kotn.com/collections/womens","90's Tee in Storm"
"1680415156-582","https://kotn.com/collections/womens","90's Tee in Marshmallow"
"1680415156-583","https://kotn.com/collections/womens","Fine Knit Crew Neck Sweater in Alabaster"
